UserID,Taken_product,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page
1000144,No,225.0,Mobile,15330.0,18.0,3,Financial,75.0,2632,1,0.0,14,No,3,0.0,5.0
1000145,No,240.0,Mobile,24115.0,1.0,2,Medical,75.0,4668,0,0.0,17,No,4,3.0,9.0
1000146,No,225.0,Mobile,7035.0,1.0,3,Entertainment,75.0,3204,5,0.0,14,No,4,1.0,8.0
1000147,No,225.0,Mobile,49945.0,1.0,1,Medical,75.0,2720,0,0.0,13,No,4,0.0,6.0
1000148,No,307.0,Mobile,29995.0,10.0,3,Financial,91.0,17181,4,0.0,13,No,2,1.0,21.0
1000149,No,307.0,Mobile,32655.0,1.0,4,Financial,94.0,2238,2,0.0,21,Yes,4,1.0,7.0
1000150,No,42.0,Mobile,28076.0,1.0,1,Medical,79.0,1483,1,0.0,14,No,4,0.0,1.0
1000151,No,300.0,Mobile,28076.0,26.0,3,Medical,54.0,5605,1,0.0,11,No,1,1.0,20.0
1000152,No,262.0,Mobile,28076.0,1.0,5,Social media,94.0,7295,1,0.0,13,No,1,2.0,10.0
1000153,No,397.0,Mobile,50260.0,1.0,2,Social media,34.0,2306,2,1.0,20,Yes,4,1.0,13.0
1000154,No,271.0,Mobile,28076.0,1.0,3,Financial,60.0,2348,8,0.0,18,No,3,1.0,20.0
1000155,No,240.0,Mobile,33845.0,1.0,3,Social media,43.0,8998,1,0.0,14,No,4,0.0,9.0
1000156,No,217.0,Mobile,52360.0,1.0,1,Entertainment,41.0,4319,1,0.0,13,No,1,1.0,10.0
1000157,No,382.0,Mobile,40915.0,1.0,4,Medical,34.0,6132,2,0.0,17,No,3,0.0,10.0
1000158,No,435.0,Mobile,40075.0,1.0,3,Medical,75.0,3346,4,1.0,20,Yes,2,1.0,9.0
1000159,No,300.0,Mobile,22050.0,1.0,4,Social media,67.0,10855,7,0.0,11,No,1,1.0,15.0
1000160,No,255.0,Mobile,10605.0,1.0,4,Social media,75.0,2231,6,0.0,18,No,4,1.0,6.0
1000161,No,165.0,Mobile,28076.0,19.0,1,Medical,80.0,2323,1,0.0,24,Yes,1,2.0,2.0
1000162,No,202.0,Mobile,24185.0,1.0,3,Medical,57.0,2024,6,0.0,18,No,4,1.0,6.0
1000163,No,210.0,Mobile,28076.0,21.0,3,Medical,42.0,2713,1,0.0,11,No,3,1.0,5.0
1000164,No,427.0,Mobile,28076.0,24.0,2,Financial,83.0,9439,3,1.0,16,No,2,1.0,12.0
1000165,No,202.0,Mobile,50750.0,1.0,3,Medical,79.0,2566,1,1.0,15,No,4,1.0,1.0
1000166,No,375.0,Mobile,50820.0,11.0,3,Financial,53.0,19926,3,0.0,15,No,2,0.0,21.0
1000167,No,307.0,Mobile,16275.0,14.0,3,Financial,56.0,2451,4,0.0,12,No,1,1.0,13.0
1000168,No,225.0,Mobile,46865.0,1.0,3,Beach,41.0,9419,2,0.0,12,No,3,1.0,12.0
1000169,No,285.0,Mobile,24570.0,1.0,4,Financial,75.0,8686,4,0.0,22,Yes,3,0.0,12.0
1000170,No,240.0,Mobile,28076.0,1.0,5,Financial,75.0,3038,3,0.0,20,Yes,1,0.0,8.0
1000171,No,202.0,Mobile,40495.0,17.0,3,Entertainment,75.0,3058,0,1.0,16,No,4,1.0,6.0
1000172,Yes,42.0,Mobile,21070.0,1.0,1,Entertainment,100.0,2325,0,0.0,21,Yes,1,0.0,1.0
1000173,No,270.0,Mobile,51800.0,1.0,2,Medical,3.0,2088,4,0.0,12,No,3,0.0,13.0
1000174,No,225.0,Mobile,3885.0,1.0,3,Medical,66.0,3072,1,0.0,11,No,3,2.0,12.0
1000175,No,271.0,Mobile,44380.0,1.0,2,Financial,3.0,5006,4,1.0,11,No,1,1.0,9.0
1000176,No,271.0,Mobile,24955.0,1.0,3,Financial,67.0,4257,4,1.0,18,No,3,1.0,19.0
1000177,No,247.0,Mobile,4690.0,1.0,3,Financial,90.0,2500,0,0.0,14,No,1,0.0,4.0
1000178,Yes,42.0,Mobile,10605.0,1.0,3,Financial,47.0,1102,1,0.0,22,Yes,3,0.0,1.0
1000179,No,345.0,Mobile,18410.0,1.0,2,Social media,92.0,10453,1,0.0,25,Yes,3,3.0,24.0
1000180,No,285.0,Mobile,48300.0,1.0,2,Financial,75.0,2288,1,0.0,12,No,3,0.0,2.0
1000181,No,232.0,Mobile,4900.0,12.0,1,Medical,95.0,3929,8,1.0,23,Yes,3,1.0,7.0
1000182,No,255.0,Mobile,22015.0,27.0,2,Medical,95.0,2311,2,0.0,15,No,4,0.0,9.0
1000183,Yes,307.0,Mobile,47460.0,20.0,2,Social media,70.0,3140,1,1.0,22,Yes,4,0.0,4.0
1000184,No,375.0,Mobile,11480.0,1.0,3,Medical,86.0,3690,2,0.0,15,No,4,1.0,5.0
1000185,No,397.0,Mobile,37940.0,13.0,2,Medical,57.0,4450,1,0.0,11,No,3,2.0,5.0
1000186,No,247.0,Mobile,32585.0,14.0,3,Medical,72.0,2756,1,0.0,13,No,4,1.0,8.0
1000187,No,300.0,Mobile,34615.0,1.0,10,Medical,46.0,19033,1,0.0,14,No,2,1.0,21.0
1000188,No,412.0,Mobile,24220.0,14.0,4,Medical,61.0,18722,8,0.0,11,No,4,0.0,36.0
1000189,No,255.0,Mobile,37415.0,1.0,1,Financial,45.0,9547,1,0.0,17,No,3,0.0,10.0
1000190,No,382.0,Mobile,10955.0,1.0,3,Medical,98.0,13734,3,0.0,18,No,3,0.0,21.0
1000191,No,271.0,Mobile,24465.0,1.0,4,Financial,65.0,19999,0,0.0,14,No,1,1.0,34.0
1000192,No,202.0,Mobile,31290.0,1.0,3,Medical,99.0,2279,1,0.0,16,No,4,0.0,7.0
1000193,Yes,262.0,Mobile,19460.0,23.0,2,Financial,75.0,5916,3,0.0,13,No,1,0.0,8.0
1000194,No,322.0,Mobile,47040.0,1.0,3,Medical,75.0,2089,4,0.0,14,No,4,3.0,7.0
1000195,No,271.0,Mobile,41825.0,1.0,2,Medical,75.0,16792,9,0.0,23,Yes,4,1.0,22.0
1000196,No,277.0,Mobile,10150.0,21.0,3,Financial,65.0,3564,1,1.0,12,No,1,1.0,8.0
1000197,No,262.0,Mobile,28076.0,1.0,3,Medical,37.0,4425,5,0.0,11,No,4,0.0,10.0
1000198,No,271.0,Mobile,32410.0,21.0,2,Medical,36.0,5265,2,0.0,16,No,2,1.0,11.0
1000199,No,285.0,Mobile,44135.0,1.0,4,Financial,88.0,6553,9,0.0,14,No,2,0.0,14.0
1000200,No,285.0,Mobile,37940.0,29.0,3,Entertainment,54.0,6261,3,0.0,18,No,1,1.0,9.0
1000201,No,202.0,Mobile,16520.0,1.0,1,Entertainment,60.0,4298,5,0.0,19,No,3,1.0,6.0
1000202,No,367.0,Mobile,35070.0,18.0,4,Financial,92.0,6804,1,1.0,15,No,1,2.0,7.0
1000203,No,255.0,Mobile,30730.0,10.0,4,Medical,43.0,3815,1,1.0,17,No,4,1.0,5.0
1000204,No,300.0,Mobile,31675.0,19.0,2,Medical,99.0,2741,8,1.0,15,No,3,1.0,15.0
1000205,Yes,285.0,Mobile,41300.0,29.0,1,Medical,70.0,6673,7,1.0,19,No,2,0.0,17.0
1000206,Yes,217.0,Mobile,4235.0,27.0,3,Social media,35.0,7639,1,0.0,22,Yes,4,3.0,10.0
1000207,No,165.0,Mobile,39760.0,1.0,3,Financial,60.0,2328,1,1.0,16,No,1,1.0,4.0
1000208,No,270.0,Mobile,22225.0,18.0,1,Medical,73.0,2153,1,0.0,13,No,1,0.0,8.0
1000209,No,300.0,Mobile,40285.0,1.0,5,Financial,63.0,4876,9,0.0,14,No,4,1.0,5.0
1000210,No,345.0,Mobile,22540.0,1.0,4,Medical,97.0,9396,7,0.0,16,No,3,1.0,17.0
1000211,Yes,240.0,Mobile,36575.0,1.0,4,Medical,32.0,10400,1,0.0,11,No,3,0.0,14.0
1000212,No,225.0,Mobile,29015.0,1.0,1,Financial,88.0,8474,1,0.0,22,Yes,3,0.0,12.0
1000213,No,202.0,Mobile,43470.0,20.0,3,Financial,90.0,9981,1,0.0,14,No,4,0.0,7.0
1000214,No,382.0,Mobile,51415.0,1.0,4,Financial,81.0,12490,5,0.0,16,No,4,2.0,16.0
1000215,Yes,225.0,Mobile,35175.0,1.0,3,Entertainment,88.0,2657,5,1.0,11,No,3,0.0,8.0
1000216,No,307.0,Mobile,28076.0,1.0,3,Financial,75.0,13591,3,1.0,18,No,3,0.0,16.0
1000217,Yes,225.0,Mobile,28076.0,26.0,4,Social media,52.0,6696,5,0.0,15,No,3,0.0,9.0
1000218,Yes,217.0,Mobile,34720.0,1.0,3,Entertainment,75.0,2058,0,0.0,14,No,4,0.0,7.0
1000219,No,271.0,Mobile,36820.0,1.0,3,Medical,75.0,8865,6,0.0,12,No,4,0.0,23.0
1000220,No,405.0,Mobile,40145.0,1.0,3,Social media,52.0,5940,2,0.0,14,No,4,1.0,16.0
1000221,No,270.0,Mobile,48860.0,1.0,2,Financial,62.0,5914,8,0.0,16,No,4,0.0,16.0
1000222,No,247.0,Mobile,5145.0,1.0,4,Medical,47.0,2622,6,0.0,21,Yes,4,0.0,7.0
1000223,No,277.0,Mobile,23205.0,11.0,3,Other,47.0,12185,1,1.0,14,No,3,3.0,10.0
1000224,No,285.0,Mobile,4165.0,1.0,3,Financial,76.0,10609,0,0.0,12,No,3,2.0,17.0
1000225,No,232.0,Mobile,34265.0,1.0,4,Medical,90.0,4345,0,0.0,12,No,4,1.0,6.0
1000226,No,271.0,Mobile,4970.0,1.0,3,Financial,70.0,2177,3,0.0,17,No,1,1.0,7.0
1000227,No,277.0,Mobile,11165.0,1.0,4,Social media,41.0,2793,4,0.0,17,No,3,1.0,13.0
1000228,No,217.0,Mobile,28076.0,1.0,1,Medical,42.0,7918,1,0.0,14,No,4,1.0,11.0
1000229,No,262.0,Mobile,33040.0,1.0,3,Social media,92.0,8789,1,0.0,14,No,1,0.0,10.0
1000230,Yes,217.0,Mobile,31360.0,18.0,1,Medical,86.0,2389,1,1.0,13,No,3,0.0,4.0
1000231,No,271.0,Mobile,46305.0,1.0,3,Financial,89.0,3212,7,0.0,15,No,2,0.0,6.0
1000232,No,271.0,Mobile,18620.0,1.0,2,Entertainment,58.0,19232,1,0.0,11,No,4,0.0,22.0
1000233,No,271.0,Mobile,28630.0,1.0,2,Medical,52.0,2267,8,0.0,17,No,4,0.0,7.0
1000234,No,375.0,Mobile,29890.0,1.0,4,Medical,68.0,19517,3,0.0,11,No,3,1.0,32.0
1000235,Yes,247.0,Mobile,28455.0,14.0,3,Medical,58.0,2436,5,1.0,13,No,3,1.0,8.0
